学校名,回数区分
青稜,（２回Ａ）
青稜,（２回Ｂ）
世田谷学園,1
世田谷学園,（算数特選）
世田谷学園,（２次）
世田谷学園,（３次）
世田谷学園,（理数）
世田谷学園,（算数特選理数）
世田谷学園,（２次理数）
世田谷学園,（３次理数）
専修大松戸,1
専修大松戸,（２回）
専修大松戸,（３回）
創価,1
相洋,（Ａ）
相洋,（Ｂ）
相洋,（２回Ａ）
相洋,（２回Ｂ）
相洋,（３回）
高輪,（Ａ）
高輪,（Ｂ）
高輪,（算数午後）
高輪,（Ｃ）
橘学苑,1
橘学苑,（２回）
橘学苑,（３回）
橘学苑,（４回）
橘学苑,（５回）
橘学苑,（６回）
玉川学園,1
玉川学園,（２回）
玉川学園,（３回）
玉川学園,（４回）
玉川学園,（国際学級一般）
玉川学園,（国際学級一般２回）
多摩大聖ヶ丘,1
多摩大聖ヶ丘,（２回）
多摩大聖ヶ丘,（適性型）
多摩大聖ヶ丘,（３回）
多摩大聖ヶ丘,（４回）
多摩大聖ヶ丘,（５回）
多摩大聖ヶ丘,（リスニング）
多摩大目黒,（進学）
多摩大目黒,（特待・特進）
多摩大目黒,（進学２回）
多摩大目黒,（特待・特進２回）
多摩大目黒,（特待・特進３回）
多摩大目黒,（特待・特進４回）
多摩大目黒,（特待・特進５回）
千葉県立千葉,1
千葉県立東葛飾,1
千葉市立稲毛国際,1
千葉大附属,1
千葉日大第一,（自己推薦）
千葉日大第一,1
千葉日大第一,（２期）
千葉明徳,（第一志望）
千葉明徳,（R評価型）
千葉明徳,（適性検査型）
千葉明徳,1
千葉明徳,（２回）
千葉明徳,（３回）
千葉明徳,（４回）
中央大附属,1
中央大附属,（２回）
中央大附属横浜,1
中央大附属横浜,（２回）
千代田区立九段,（Ａ・千代田区内）
千代田区立九段,（Ｂ・都内）
千代田国際,1
千代田国際,（適性検査型）
千代田国際,（２回）
千代田国際,（３回）
千代田国際,（４回）
千代田国際,（５回）
千代田国際,（思考力）
筑波大附属,1
筑波大附属駒場,1
土浦日本大学,（ＫＢＴ）
土浦日本大学,（ＫＢＴ特待）
土浦日本大学,（ＣＳＡＴ）
土浦日本大学,（ＩＳＡＴ）
土浦日本大学,（ＩＣＬ）
土浦日本大学,（ＡＣＥ）
鶴見大附属,（進学１次）
鶴見大附属,（進学２次）
鶴見大附属,（難関進学１次）
鶴見大附属,（難関進学２次）
鶴見大附属,（難関進学３次）
鶴見大附属,（適性検査型）
帝京,（午前）
帝京,（午後）
帝京,（２回午前国語）
帝京,（２回午前算数）
帝京,（２回午後）
帝京,（３回）
帝京,（４回）
帝京大学,1
帝京大学,（２回特待・一般）
帝京大学,（３回）
帝京八王子,（１回Ａ）
帝京八王子,（１回Ｂ）
帝京八王子,（２回Ａ）
帝京八王子,（２回Ｂ）
帝京八王子,（３回Ａ）
帝京八王子,（３回Ｂ）
帝京八王子,（４回）
帝京八王子,（２次）
貞静学園,1
貞静学園,（１科１回）
貞静学園,（２回）
貞静学園,（１科２回）
貞静学園,（３回）
貞静学園,（１科３回）
貞静学園,（４回）
貞静学園,（１科４回）
貞静学園,（５回）
貞静学園,（１科５回）
貞静学園,（個性発見）
貞静学園,（個性発見２回）
貞静学園,（適性型）
貞静学園,（適性型２回）
桐蔭学園中等教育学校,（１回午前）
桐蔭学園中等教育学校,（１回午後）
桐蔭学園中等教育学校,（２回特奨選抜グローバル）
桐蔭学園中等教育学校,（２回特奨選抜）
桐蔭学園中等教育学校,（３回）
東海大菅生,（１回Ａ）
東海大菅生,（１回Ｂ）
東海大菅生,（２回Ａ）
東海大菅生,（２回Ｂ）
東海大菅生,（３回）
東海大菅生,（４回）
東海大付属浦安,（推薦）
東海大付属浦安,（Ａ）
東海大付属浦安,（Ｂ）
東海大付属相模,（Ａ）
東海大付属相模,（Ｂ）
東海大付属相模,（Ｃ）
東海大付属高輪台,1
東海大付属高輪台,（２回）
東海大付属高輪台,（３回）
東京学芸大附属小金井,1
東京学芸大附属国際,（Ａ）
東京学芸大附属国際,（Ｂ）
東京学芸大附属世田谷,1
東京学芸大附属竹早,1
東京成徳大学,（一般）
東京成徳大学,（特待）
東京成徳大学,（２回一般）
東京成徳大学,（２回特待）
東京成徳大学,（３回一般）
東京成徳大学,（３回特待）
東京成徳大学,（ＤＬ選抜）
東京成徳大学深谷,1
東京成徳大学深谷,（２回）
東京成徳大学深谷,（３回）
東京成徳大学深谷,（４回）
東京大附属,1
東京大附属,（推薦）
東京電機大学,1
東京電機大学,（２回）
東京電機大学,（３回）
東京電機大学,（４回）
東京都市大学等々力,（特選）
東京都市大学等々力,（２回特選）
東京都市大学等々力,（Ｓ特選）
東京都市大学等々力,（２回Ｓ特選）
東京都市大学等々力,（算数）
東京都市大学等々力,（英語）
東京都市大学等々力,（アクティブラーニング）
東京都市大付属,（１回Ⅰ類）
東京都市大付属,（１回Ⅱ類）
東京都市大付属,（２回Ⅰ類）
東京都市大付属,（２回Ⅱ類）
東京都市大付属,（３回Ⅰ類）
東京都市大付属,（３回Ⅱ類）
東京都市大付属,（４回Ⅰ類）
東京都市大付属,（４回Ⅱ類）
東京都市大付属,（グローバルⅠ類）
東京都市大付属,（グローバルⅡ類）
東京都市大付属,（帰国Ⅰ類）
東京都市大付属,（帰国Ⅱ類）
東京都立桜修館,1
東京都立大泉高附属,1
東京都立小石川,（一般）
東京都立小石川,（特別）
東京都立立川国際,（一般）
東京都立白鴎高附属,（一般）
東京都立白鴎高附属,（特別）
東京都立富士高附属,1
東京都立三鷹,1
東京都立南多摩,1
東京都立武蔵高附属,1
東京都立両国高附属,1
東京農大第一,（１回算国）
東京農大第一,（１回算理）
東京農大第一,（２回算国）
東京農大第一,（２回算理）
東京農大第一,（３回）
東京農大第三,（特待）
東京農大第三,（２回特待）
東京農大第三,（３回）
東京農大第三,（４回）
東京立正,（１回午前）
東京立正,（１回午後）
東京立正,（２回午前）
東京立正,（２回午後）
東京立正,（３回午前）
東京立正,（３回午後）
東京立正,（４回）
桐光学園,男子部
桐光学園,男子部（２回）
桐光学園,男子部（３回Ａ）
桐光学園,男子部（３回Ｂ）
桐光学園,男子部（帰国）
東星学園,1
東星学園,（２回）
東星学園,（３回）
東星学園,（国語）
桐朋,1
桐朋,（２回）
東邦音大東邦,1
東邦大付属東邦,（推薦）
東邦大付属東邦,（前期）
東邦大付属東邦,（後期）
東洋大学京北,1
東洋大学京北,（２回）
東洋大学京北,（３回）
東洋大学京北,（４回）
東洋大学京北,（哲学教育）
東洋大学附属牛久,1
東洋大学附属牛久,（２回）
東洋大学附属牛久,（適性検査型）
東洋大学附属牛久,（英語特別）
東洋大学附属牛久,（総合型）
東洋大学附属牛久,（専願）
藤嶺学園藤沢,（２科・４科１）
藤嶺学園藤沢,（２科）
藤嶺学園藤沢,（得意２科目選択型Ａ）
藤嶺学園藤沢,（２科・４科２）
藤嶺学園藤沢,（得意２科目選択型Ｂ）
栃木県立宇都宮東高附属,1
栃木県立佐野高附属,1
栃木県立矢板東高附属,1
獨協,1
獨協,（２回午後）
獨協,（３回）
獨協,（４回）
獨協埼玉,1
獨協埼玉,（２回）
獨協埼玉,（３回）
ドルトン東京学園,（１日ＡＭ）
ドルトン東京学園,（特待）
ドルトン東京学園,（２日ＡＭ）
ドルトン東京学園,（理数特待）
ドルトン東京学園,（４日ＰＭ）
長崎日本大学,（東京・神奈川）
成田高校付属,（第一志望）
成田高校付属,1
新島学園,（ＡＯ）
新島学園,1
新島学園,（２回）
西大和学園,（県外・東京）
二松学舎大附属柏,（第一志望Ｇ）
二松学舎大附属柏,（第一志望総合）
二松学舎大附属柏,（１回総合）
二松学舎大附属柏,（１回Ｇ特待）
二松学舎大附属柏,（２回Ｇ特待）
二松学舎大附属柏,（２回総合）
二松学舎大附属柏,（全コースＧ）
二松学舎大附属柏,（全コース総合）
新渡戸文化,（１日ＡＭ）
新渡戸文化,（１日ＰＭ）
新渡戸文化,（２日）
新渡戸文化,（３日）
新渡戸文化,（４日）
新渡戸文化,（好きなこと入試Ａ）
新渡戸文化,（好きなこと入試Ｂ）
新渡戸文化,（好きなこと入試Ｃ）
日本学園,1
日本学園,（２回）
日本学園,（３回）
日本工業大駒場,1
日本工業大駒場,（２回）
日本工業大駒場,（３回）
日本工業大駒場,（４回）
日本工業大駒場,（５回）
日本工業大駒場,（６回）
日本工業大駒場,（特別）
日本大学,（Ａ１・ＡＦ）
日本大学,（Ａ２・ＡＦ）
日本大学,（Ｂ・ＡＦ）
日本大学,（Ｃ・ＡＦ）
日本大学,（適性検査・ＡＦ）
日本大学,（Ａ１・ＧＬ）
日本大学,（Ａ２・ＧＬ）
日本大学,（Ｂ・ＧＬ）
日本大学,（Ｃ・ＧＬ）
日本大学,（適性検査・ＧＬ）
日大第一,（４科１回）
日大第一,（４科２回）
日大第一,（２科１回）
日大第一,（２科２回）
日大第二,1
日大第二,（２回）
日大第三,1
日大第三,（２回）
日大第三,（３回）
日大豊山,1
日大豊山,（２回）
日大豊山,（３回）
日大豊山,（４回）
日大藤沢,1
日大藤沢,（２回）
日大藤沢,（３回）
日本大学三島,（首都圏）
白鴎大学足利,（推薦）
白鴎大学足利,1
白鴎大学足利,（２回）
函館ラ・サール,（１次・東京）
函館ラ・サール,（２次・東京）
八王子学園八王子,（１日午前東大）
八王子学園八王子,（１日午前東大・適性）
八王子学園八王子,（１日午後東大）
八王子学園八王子,（２日午前東大）
八王子学園八王子,（２日午後東大）
八王子学園八王子,（３日特進）
八王子実践,1
八王子実践,（２回）
八王子実践,（プレゼンテーション１回）
八王子実践,（３回）
八王子実践,（プレゼンテーション２回）
日出学園,（一般Ⅰ期）
日出学園,（一般Ⅱ期）
日出学園,（第一・Ⅰ期）
日出学園,（第一・Ⅱ期）
日出学園,（推薦）
日出学園,（サンライズ）
広尾学園,1
広尾学園,（２回）
広尾学園,（医進・サイエンス）
広尾学園,（３回）
広尾学園,（ＩＳＧ１回）
広尾学園,（ＩＳＧ２回）
広尾学園,（ＩＡＧ）
広尾学園小石川,1
広尾学園小石川,（２回）
広尾学園小石川,（３回）
広尾学園小石川,（４回）
広尾学園小石川,（５回）
広尾学園小石川,（ＩＳＧ１回）
広尾学園小石川,（ＩＳＧ２回）
広尾学園小石川,（ＩＳＧ３回）
広尾学園小石川,（ＩＳＧ４回）
広尾学園小石川,（ＩＳＧ５回）
広尾学園小石川,（ＩＡＧ）
武相,1
武相,（２回）
武相,（３回）
武相,（４回）
武相,（５回）
武南,（１回午前）
武南,（１回適性検査）
武南,（１回午後）
武南,（２回）
武南,（２回適性検査）
武南,（３回）
武南,（４回）
武南,（５回）
文化学園大杉並,1
文化学園大杉並,（適性検査）
文化学園大杉並,（２回）
文化学園大杉並,（３回）
文化学園大杉並,（４回）
文化学園大杉並,（算数特別）
